"datetime","title","service","voc_type","voc_date","text"
"2018-02-25","3캠퍼스 식당 맛이 좋아졌어요.","secret","","",""
"2018-02-24","식권 관련문의","secret","","",""
"2018-02-23","보안카드및 카드 분실물 문의","secret","","",""
"2018-02-23","분실물","secret","","",""
"2018-02-23","2캠 식당 메뉴","secret","","",""
"2018-02-22","청주 3캠퍼스 중식 메뉴 구성 너무 좋았어요!","secret","","",""
"2018-02-21 오후 8:00:32","복지관 조식 바나나 건의 사항","식당 >  >","","","바나나 끝부분을 거의 남기지 않고 칼로 잘라내서 주니까 껍질벗기기 어렵습니다 바나나 끝 부분 남겨 주세요"
"2018-02-21 오후 7:24:19","운행 노선을 신중히 해 주세요","통근/셔틀버스 > 이천 > 장거리퇴근 > 사당선","불편 / 불편정도: 5","2018-02-21","평일 퇴근 사당선을 이용하고 있습니다.사당선은 5시 40분 조기 출발하는 버스 편이 있습니다. 그런데 금주부터 평상시 운행하던 영동고속도로->경부고속도로-> 외곽순환고속도로-> 과천의왕간고속도로->남태령->사당 노선을 가지 않고,  영동고속도로->경부고속도로-> 양재 IC->시내도로->남태령->사당으로 운행하고 있습니다. 월요일은 중간에 강남순환도로를 이용하여 남태령 정차도 하지 못했고, 화요일 수요일은 막히는 시내도로로 돌아오다 보니 7시에나 남태령에서 하차하게 되었습니다.이 시간이면 6시 정시 출발하는 버스 편을 이용해도 도착할 시간입니다.다시 평상시 운행 코스를 이용하여 20분 이상 지체되는 일이 없도록 신경 써 주시기 바랍니다."
"2018-02-21","기존 식권사용문의","secret","","",""
"2018-02-21","외부인(방문객) 모바일 식권 사용법과 기존에있던 식권에 관한 문의드립니다..","secret","","",""
"2018-02-21","sky happy bus 로그인 관련입니다.","secret","","",""
"2018-02-20","지나친 난방","secret","","",""
"2018-02-20","퇴근버스 하차시 불편한점 개선 요청드립니다.","secret","","",""
"2018-02-20","식권 사용문의","secret","","",""
"2018-02-20","어제 고추잡채덮밥, 오늘 멘치까스 너무 맛있었어요","secret","","",""
"2018-02-20","트레비","secret","","",""
"2018-02-18 오후 5:23:35","명절인데 수고가 많으십니다.","식당 > 이천 > 행복1마을 > 석식","칭찬 / 맛&품질","2018-02-18","명절인데 맛있는 식사를 해주셔서 진심으로 감사합니다. ^^덕분에 맛있는 식사를 했네요~!!!추운 날씨에 감기 조심하시기 바랍니다."
"2018-02-18 오후 12:50:05","경기도 광주 3교대 신규노선","통근/셔틀버스 >  >","","","경기도 광주 3교대 신규노선 가능할까요 ?4월30 센트럴 푸르지오 완공이라 5월~6월 사이에 입주입니다근처에 동성아파트가 있긴하지만 인도가 아니고 국도옆이라 길이 좀 위험한거같아서요푸르지오에 쉬프트당 몇명이 살아야 정거장이 만들어질수있는건가요 ?조별로 인원이 충족 되어야할까요 ? 동성 밑에쪽이라 지나는 노선입니다 서주기만 하면될거같은데 몇명 산다는걸로 알고있어서요~ 조별로는 모르지만 교대근무 하면 5~10명은 넘을거같아 문의드립니다"
"2018-02-17 오전 10:38:38","아침 배식 외1건","식당 >  >","","","안녕하세요 ..아침식사를 회사에서 할수 있어서 참 좋은 1인입니다.두가지 건의사항이 있다면1)뚝배기나 라면등 가열이 필요한 음식이 나올경우사전에 가열을 해야하는 시간이 있기때문에.. 배식시간6시전부터 가열을 시작했으면 좋겠습니다배식6시 시작인데 가열음식이 나올경우 더 기다려야하므로 출근전 식사를 하기에는 좀 시간이 촉박한 감이 있습니다.2)빵등 기호식품 배식시컵라면 작은것은 안되는지요..아니면 큰것 반 작은것 반 이렇게 가능한지 ...컵라면 1개 다 못먹는 1인으로서 남겨서 버려지는게 아까워서요 ㅎ"
"2018-02-16","의도는 좋으나 결과가..","secret","","",""
"2018-02-15 오후 9:15:23","설날설날~",">  >","","","내일이면설날이내여    새해복 많이들받으시구용  건강들하세요 설날인데  교대근무하시는분들  집에도 못가시고  고생들 많으신데 떡국이라도  먹게  조식시간좀 연장 해주세요 8시30분에 퇴근 하는분들  조식못먹어요 .. 설날인데 떡국좀 먹게 해주세여 ^^"
"2018-02-15 오전 9:45:32","그놈의 함박 좀 안나오면 안되나요?",">  >","","","함박스테이크 싫어하는건 아닌데무슨 함박이 왜이리 자주 나오는건지며칠에 한번씩 함박 나오는 느낌임...위생도 별로고 맛도 별로인데메뉴까지 별로고...맨날 신경쓰겠다 이딴 말이나 하지말고 좀 달라지는걸 보여주세요말로는 뭘 못해요???달라지겠다고 하고 나서 달라진적 있어요?"
"2018-02-14","세종 출퇴근 버스 노선 신설 문의(통상근무자)","secret","","",""
"2018-02-14","통근버스 정류장 체계 관련 제안드립니다.(2)","secret","","",""
"2018-02-13","Sky Happy Bus ID인증 시 사원번호","secret","","",""
"2018-02-12","기발급된 식권 사용기한 문의","secret","","",""
"2018-02-12","어정/마북 출근버스 증차 시급... 7명 빈자리 찾아 승하자 반복...!..","secret","","",""
"2018-02-11","고담 기숙사 맛이 너무 없어요..","secret","","",""
"2018-02-11 오전 4:50:28","식당 사용 시간","식당 >  >","","","외부인 식권 사용자들 식당 이용시간에 제한을 왜 두는지요 ?외부 인원도 같은 돈내고 식당 이용하는 고객인데 식권을 팔지를 말던가 해야지 다 팔아놓고 사용시간에 제한을 둔다는게 이해가 안됩니다?"
"2018-02-10 오후 1:28:50","영양사님을 칭찬합니다!~~",">  >","","","매번 친절하게 웃어주시고 얼굴도 예쁘신 송기용? 영양사님을 칭찬합니다.사람이 많아 정신 없으시고 바쁘실텐데 항상 웃는 얼굴로 무거운 국도 갖다주시고 항상 감사합니다~!추우신데 감기 조심하세요^^"
"2018-02-07","식권 구매 관련","secret","","",""
"2018-02-07","로그인","secret","","",""
"2018-02-07","2월6일 아침 07:15분경 서청주교 우회전 차량 난폭운전 관련 개선조치..","secret","","",""
"2018-02-06","식권 대량구매 문의드립니다.","secret","","",""
"2018-02-05","[건의사항] 2/5 창동선 아침 출근선 탑승시 불편사항 건의드립니다.","secret","","",""
"2018-02-05","2월 5일 저녁 부대찌게 식사 후 설사를 비롯한 식중독 증상 발생","secret","","",""
"2018-02-04 오전 8:45:30","2월 3일 중식 메뉴 문의 합니다.","식당 >  >","","","2018년 2월 3일 1캠퍼스 중식 메뉴중  사태장조림 메뉴가 정말 맛있었어요.사태장조림 레시피 부탁드릴게요^^항상 맛있게 잘 먹고 있습니다. 노고에 감사드립니다!!"
"2018-02-03","부발역 셔틀 사람태우지 않고 출발합니다.","secret","","",""
"2018-02-02 오전 6:52:56","금일 조식 한식(자반 고등어 구이)에서 쑥갓 나물에서 민달팽이 나왔습니다.","식당 > 이천 > SKY > 조식","불편 / 위생 / 불편정도: 5","2018-02-02","금일 조식 한식(자반 고등어 구이)에서 쑥갓 나물을 먹던 중에 버섯인 줄 알았는데 자세히 민달팽이였습니다.크기가 작으면 이해라도 하겠는데 약 4cm 정도 되는 크기였습니다.밥 반 정도 먹다가 접었습니다.매번 위생에 문제가 있는데 업체를 바꾸지 않는 이유는 무엇인가요?"
"2018-02-01","로그인 어떻게 하나요?","secret","","",""
"2018-02-01","목동선 히터","secret","","",""
"2018-02-01 오후 1:25:14","불친절...",">  >","","","중식 식사중에 반찬이 모자라서 반찬그릇들고 '어머님 반찬좀 더주세요~'하니  위아래로 흘기시더니 앞에 셋팅된 반찬을툭 밀면서 이거 가져가요 라고 하시는데제가 오기전까지 옆에계신분과 웃으면서 담소 나누시던분이 (마스크도 착용않하시고...) 그렇게대해주시니 참 먹고싶지가 않더군요 ㅎㅎㅎ 반찬 더 먹으면 안되는건가요?"
"2018-01-31 오후 8:24:39","식당이 시끄럽습니다.","식당 > 이천 > 복지관","불편 / 기타 / 불편정도: 5","2018-01-28","밥은 아주 맛있게 잘먹고있습니다!!!그런데 식당이 시끄럽고 부산스럽습니다.건의사항 드립니다.1. 배식차인지 뭔지는 잘 모르겠는데 아주머니들 왔다갔다하시면서 끄는 스텐레스로된 CART가 탕탕탕 시끄럽고 부산스러워 정신이 없습니다.-> CART를 교체하거나, 식사시간에는 이동안했으면 좋겠습니다.2. 의자 끄는소리도 다른식당에 비해 많이 시끄럽습니다. -> 의자를 교체하거나 의자다리에 테니스 공을 씌워주었으면 좋겠습니다.3. 잔반치우는 곳도 시끄럽습니다. -> 방음시설 ※ 한가지더, 식당이 다른식당에 비해 춥습니다."
"2018-01-31 오후 5:48:40","김치가 너무 맛이 없어요...ㅜ","식당 >  >","","","김치가 덜익은것 밖에 없어서 라면에 먹어도 밍밍하고 ...예전엔 덜익은 김치랑 익은김치 나누어서 배치해놓았는데업체가 봐뀌어서 그런지 ..단가는 올랐다고 들었는데..김치좀 어떻게 해주세요..제발 ㅜㅜ 김치를 집에서 싸오고싶은 심정입니다..사람들이 말을 안해서 그렇치 김치 맛있다는사람 한명도 없어요.."
"2018-01-31","중앙식당 조식 기호식 우유 대신 음료 제공","secret","","",""
"2018-01-31 오후 1:13:36","식단 조회 시 날짜 이동","기타 > 기타 > 이천","불편 / 기타 / 불편정도: 0","2018-01-31","2017 / 10 에 문의했고 11월 10일까지 구현한다 답변 받았는데왜 바뀌질 않는지요?이해가 안되는군요.============================안녕하세요 고객님요청하신 개선사항은 11월 10일 이전까지 구현 완료 예정입니다하이스텍 홈페이지를 이용해주셔서 감사합니다좋은하루되세요*^^*원문내용 ====날짜를 입력 후 검색을 해야하는데날짜 좌우에 버튼을 만들어서날짜를 입력하지 않아도 이동 가능하도록 웹사이트 개선 바랍니다.아래와 같이. < 날짜 > ===="
"2018-01-30 오후 4:03:42","[중앙식당] 식기류 먼지가 수북이~~~","식당 > 이천 > 중앙 > 중식","불편 / 위생 / 불편정도: 5","2018-01-30","조식/중식 할것없이 식기류통에 있는 수저/젓가락등 위생 상태가 너무 불량입니다. 집어넣고 전부 사용할때까지 한번을 꺼내 닦지를 않는듯 합니다. 깨끗한 숟가락을 찾기가 너무 힘듭니다. 배식 받을때마다 갯수도 부족하고배식전에 확인은 하는지 모르겠네요...!!!중앙식당 얼마전 아침에 내/외부 기온차로 천장에서  식탁/의자에  물이 떨어져 얼룩이 생겼는데 식탁은 닦은듯 한데 의자에는 여전히 남아 있습니다.수많은 민원에도 식단질 문제는 고치지 않는데 위생은 신경좀 써 주세요..."
"2018-01-30","어정/마북 출근버스 증차 시급... 더이상 미룰수 없어요!!! ","secret","","",""
"2018-01-30 오전 10:51:17","복지관 아침 식단","식당 >  >","","","조출후 복지식당 이용합니다.금일 조식에 나온 설렁탕 국물과 소면뿐 고기 한점 없네요저만 그런가보니 같이 식사하는 사람들 전부 고기 한점 없네요설렁탕 국물은 어떻게 우려냈는지 궁금합니다뜨거운물에 가루 같은걸루 흉내만 낸건지...?어이없는 복지식당이네요"
"2018-01-30","버스안에서 티비시청","secret","","",""
"2018-01-29","문의드립니다","secret","","",""
"2018-01-29","음식의 염도를 관리하시기 바랍니다.","secret","","",""
"2018-01-29 오후 1:48:29","오늘 복지관 식당 형편없습니다.","식당 > 이천 > 복지관 > 중식","불편 / 맛&품질 / 불편정도: 0","2018-01-29","돼지고기 짬봉밥을 먹었는데. 내용물이 영 아니네요..돈주고 사먹기 아깝네요양배추 몆개 호박 몆개 끝이네요;;그냥 야채 고추가루 국이라 하시지.. 고기가 안보이네요다른 사이드메뉴는 괜찮았어요"
"2018-01-29","식권 관련 연말 정산에는 사용할 수 있나요 ? (카드 결제 x, 현금 영..","secret","","",""
"2018-01-29","편의식 바나나 유통상태 확인 바랍니다.","secret","","",""
"2018-01-29 오전 8:53:54","[제안] 식단 질 개선","식당 >  >","","","안녕하세요. 수고해주시는 식당분들께 감사드립니다. ^^방송이나, 게시판에서 식당에 대한 불편사항들을 접하다보니간단한 제안이 있어서 내용을 적습니다. 1. 각 식당마다 각각의 업체가 따로 따로 배정되어 있다보니. 식당들에 대한 차이가 느껴진다는 의견이 많습니다.     그런데도불구하고, 사무실 가장가까운 곳의 식당으로 가는것이 대부분이다보니 불만사항들이 많은것 같습니다.--> 각 식당에 각 업체가 다 들어가 있으면 어떨까 합니다.     1식당 -> A업체, 2식당 -> B업체 에서.. 1식당->A업체, B업체 (옆동네 경쟁사도 그렇죠 ^^)     위처럼되면 한식당안에서 업체간 음식에 대한 경쟁력도 생기고, 식사하시는 분들도 형평성도 있게 될것 같습니다. 2. Side 코너(무료제공)를 없애고, 식단의 질을 높였으면 좋겠습니다. 그리고 식사도구 (접시, 그릇 등등)에 대한 질적/미적 향상도 있으면 좋겠습니다. 식사양제공에도 많은양, 적은양으로 분리되어서 제공하면 많은양을 가져가실분들도 상대적으로보게되어서 불만이 사라질것 같습니다.     -> 기본식사에서 양을 많이주는것은 더 요청하면 주고계신데.. Side 코너에서 또다른 반찬들을 가져가는게 의미가 없어보입니다. Side 코너음식의 가격으로 기본 식단에서의 반찬수를 하나정도 더늘린다던지. 아니면 다도 질적향상을 시키는 것도 좋을것 같습니다. 아침에 정신없이 쓰다보니. 내용이 두서가 없네요. ^^그럼. 수고하세요./` ^^"
"2018-01-29 오전 6:41:15","1캠메뉴","식당 >  >","","","안녕하세요~ 최근 메뉴 중복이 잦은거 같아서 제가 느낀 것을 말씀드리려 합니다.캡쳐된 사진은 교대 1조 1월 22~29일 사이의 메뉴 중복을 따로 편집한 내용입니다.22일 석식 돈사태장조림이 나왔고 24일 석식 같은고기가 쓰인거 같은 갈비돈사태찜이 나왔습니다. 25일 석식은 제가 먹어보지 못해서 모르겠지만, 돈육이 사용되었구요.28일 야식 카레볶음밥과 순살치킨강정이 나왔는데요.29일 야식 식단을 보니 가라아게 카레라이스가 나오더라구요카레볶음밥과 카레라이스 / 순살치킨강정에 양념만 안바르면 가라아게 아닌가요?식당측에서 다르다고 하시면 다른것일 수 있지만 제입장에선 같은 재료로 계속 조리법만 조금씩 다르게 하여 내주시는것 같습니다예전에는 다시마쌈도 계속 나오고, 또 어떨때는 어묵볶음 계속나오고..요즘 꼬치어묵도 자주 보이네요..개선 부탁드립니다"
"2018-01-29","이벤트 감사합니다.","secret","","",""
"2018-01-28","M14 식당 예약 관련 문의 드립니다.","secret","","",""
"2018-01-28 오후 3:59:02","오늘 행복1마을 중식","식당 > 이천 > 행복1마을 > 중식","선택하세요","2018-01-28","너무너무 고생하시는 영양사님들 항상 고맙고 감사하게 생각합니다그런대 오늘 중식에 메뉴가 돈가스 였는데 제가 도착햇을 시간에 돈가스가 떨어져서10명정도 줄을 서서 기다리고 있더라고요 저역시 기다고 있다가출근시간에 늦을까 밥을 먹지 못하고 그냥 나왔습니다저또한 이른시간에 갔으면 되는것을 늦은 시간에 간 제 탓이 크지요 죄송합니다식사시간이 되면 많은 인원으로 인하여 촌각을 다투시며 바쁘게 땀흘리며 일하시는모습을 보면서 항상 죄송한 마음과 감사하는 마음이 공존 합니다...."
"2018-01-28 오후 12:25:39","사내셔틀 김재환 기사님 친절함에 감사드립니다.","통근/셔틀버스 > 셔틀버스 > 이천사내셔틀","칭찬 / 친절","2018-01-17","사내셔틀 버스를 이용하는 구성원인데요,김재환 기사님 버스 탈때마다 친절함에 항상 감사하다고 전하고싶어 글 남깁니다. 정차할때 , 이동할때 위트있고  친절하게 방송해주셔서 얼마나 감사한지 몰라요.항상 건강하셔서 사내셔틀 운행 오랫동안 해주셨으면 좋겠습니다.더불어 이 추운 날씨에 통근버스 관계자분들도 고생 많으신거 같아요.모두 감사합니다^^"
"2018-01-27","협력사-상시출입자 문의","secret","","",""
"2018-01-26 오후 2:05:33","통상 퇴근버스.... 부발방면.....","통근/셔틀버스 >  >","","","통상 퇴근버스 보니까 부발읍사무소 방면으로 가는 버스가 없더라구요부발 가는 사람이 많지 않아서 없는건지요?...여주선이 2개 노선인거 같은데 다 고속도로 타고 가는 것 같은데 2개중 1개선은 국도로 부발읍사무소 방면으로 가는 노선으로 할 수는 없는 건가요?"
"2018-01-25","payco 관련 카드 결제 문의 드립니다 .","secret","","",""
"2018-01-25 오후 3:51:45","아침 사내 셔틀 시간좀 지켜주세요...","통근/셔틀버스 > 셔틀버스 > 선택하세요","불편 / 이상운행(결행,지연,미정차) / 불편정도: 5","2018-01-25","가뜩이나 날이 추운데 요즘 따라 계속 8시 20분/25분 차가 엄청 지연되거나 아예 안오더라구요...보통이었으면 다음차가 바로 오던데 오늘은 20분차가 27분에 오고 25분 차는 없어지고 30분차가 37분에 오던데 (경영지원관 기준)항상 이런식인 것 같습니다.지연이 있다면 다음 차라도 바로 와야할텐데....하루에 가장 붐빌 시간인 8시 15~25분 때 배차좀 늘려주지 못하면 지연되더라도 셔틀 버스 수는 맞춰 주세요.....버스기사분 얘기들어보니 최근에 한분은 시간을 잘못아셔서 스킵된 것 같고...오늘 같이 추운 날에 의도치않은 지각까지 하니 정말 속상하네요....항상 걸어갈까말까 고민했는데 오늘은 워낙 추워서 셔틀타려다가20분이나 기다린 사람으로서 개선 부탁드립니다..."
"2018-01-25 오후 1:29:09","중앙 감자탕","식당 > 이천 > 중앙 > 중식","칭찬 / 맛&품질","2018-01-25","오늘 중앙식당에서 점심 먹었습니다.일반식당에서 파는 감자탕처럼 맛나는 감자탕을 회사 식당에서도 먹을수 있어서 참 좋았습니다.회사 생활 6년만에 오늘처럼 맛있는 회사밥은 처음인것 같아요.오늘 감자탕은 정말 집에 가서 다시 먹고 싶을 정도였는데, 혹시 따로 구매 가능한 방법이 없을까 싶은 생각도 들었습니다.맛있는 점심 준비하시느라 고생 많으셨습니다."
"2018-01-25 오후 12:56:21","중앙식당 배식건의","식당 > 이천 > 중앙 > 중식","건의","2018-01-25","금일 중앙식당(2층) 기호식 배식관련 건의 사항입니다.메뉴는 떡볶이에 샌드위치가 함께 나왔는데 샌드위치가 부족 할 것 같다는 이유로12시 이후  식사 인원들에게는 샌드위치를 반개씩 주더군요작년쯤에도 이와 같은 일이 있어 건의를 했었는데 또다시 똑같은 일이 반복되었네요샌드위치가 부족 할 것으로 예상이 된다면 다른 대체품으로 배식을 하거나 해야 하는게 맞지 않은가요?아니면 샌드위치가 떨어졌다면 배식을 중단해야 하는게 맞다고 봅니다.똑같은 식사비용을 지불하고 누구는 완제품을 누구는 반개를 먹게 한다는건 형평성에 어긋나는 행위인것 같네요식당내의 조리 메뉴가 아닌 제품을 배식 할 경우 식수인원 파악은 제대로 하는지 조차도 의문이 드네요극단적으로 샌드위치로 말을 했지만 배식 시스템에 대하여 지적을 하는겁니다.식권 값은 올리면서 식당 메뉴 및 서비스는 개선에 기미가 보이질 않습니다.식당 출구에 놓여진 키오스크 설문을 보면 항상 더 노력해달라고 하는 숫자가 많은데 참고하시는지요?많은 사람이 이용하는 식당이라면 조금더 고객의 소리에 귀기울여 듣고 개선을 했으면 합니다.추가로  메뉴중 잔반처리중 쓰레기가 많이 나오는 메뉴일 경우 쓰레기통 정리좀 부탁드립니다.쓰레기가 넘쳐 쓰레기를 통에 넣을 수 없어 바닦에 쏟아져 내려도 정리가 되지 않더군요위생적으로나 외관상으로나 보기 불편합니다해당 글을 확인하시고 연락 주시기 바랍니다"
"2018-01-25 오전 9:30:29","심재국 기사님 칭찬합니다~","통근/셔틀버스 > 이천 > 장거리출근 > 사당선","칭찬 / 친절","2018-01-25","오늘 아침에 ㅠㅜ 정신이 없었는지 버스에 가방을 두고 내렸습니다....너무 어안이 벙벙해져서.. 일단 하이스텍 대표 연락처에 문의를 하였더니..사당선 기사님 세 분을 안내해주시더라구요..다행히 바로 담당 기사님 연결이 되어서..저 때문에 급하게 식사하시고 이 엄동설한에 가방까지 직접 저희 건물로 가져다주셨습니다.. 건물 찾으시느라 더 고생하신 것을 생각하니 너무 너무 감사드리면서도 죄송했습니다.아침에 인사도 반갑게 일일이 다 해주셔서 인상에 남아있었는데..이번 기회에도 너무 친절히 응대해주셔서 이렇게라도 감사의 마음을 표현해드리고 싶었습니다.추운 겨울에 안전 운전해주셔서 너무 감사드리고앞으로도 잘 부탁드립니다! 기사님 감사합니다~~"
"2018-01-25","밥좀구걸해가면서먹게하지말아주세요","secret","","",""
"2018-01-24 오후 4:45:04","위생좀..","식당 > 이천 > 중앙 > 중식","불편 / 위생 / 불편정도: 1","2018-01-24","천장에서   국/반찬  으로  물이  떨어져서   먹지도  못하고  버렸습니다 . “날씨가 추우니  그럴 수 있겠다”  넘어갈 수  있겠지만  아침에도  똑같이  물방울이  생겼는데   심지어  식탁에  물이  떨어진게  보였는데  중식때까지 청소를  하지 않으셨다는게  불만이네요중식때  자리없어서  여기저기  식판들고 다니고 먼저 앉은 사람은  손흔들고  계시는거  못보셨나요? 이렇게  자리가  모자른데  물떨어지눈 곳에서  어쩔수없이 식사하시는분들도  계셨습니다 구상원분들  청결하게  식사 하게 해주세요"
"2018-01-24 오후 1:32:26","청주 1캠퍼스 식당...","식당 >  >","","","회사 통 털어서 청주 1캠 식당 진짜 음식 잘 나오는거 같아요.sky도 먹어보고 3캠퍼스도 먹어보는데.아무리 봐도 1캠이 최고예요....쌀국수나 중식 같은거 나오는 날에 동료들이 밖에서 외식 하자고 하면 전 안갑니다. 밖에 식당 음식보다 맛있어요 ㅋㅋㅋㅋㅋ맛과 질이 바뀔까봐 걱정이 ㅠㅠ계속 이렇게 유지해주세요~근데 너무 맛있으니깐다이어트가 안되네요 ..;;우리 회사 식당..다른회사 친구들한테 자랑하고 싶을 정도예요 ㅋㅋㅋ예전보다 훨씬 좋아졌고 점점 좋아지고 있는거 같아서너무 좋네요^0^"
"2018-01-24 오후 1:19:22","시청선 버스 문의드립니다.","통근/셔틀버스 >  >","","","출근할때와 퇴근시 모두 시청선 버스를 이용 중입니다. 출근시에는 근처 정류장을 이용 할 수 있으나 퇴근시에는 노선이 짧아서 퇴근길에 어려움을 겪고 있습니다. 퇴근시에 보면 저와 동일한 노선으로 출퇴근하시는 분들이  여러 계신것같은데 시청선을 마포쪽으로 노선을 신설하실 계획은 없으신지요? 글을 한번 올렸었는데 회신이 없으셔서 재 건의 드립니다."
"2018-01-24","임산부 자리 확보","secret","","",""
"2018-01-24","조식 관련해서 불편 사항 있습니다","secret","","",""
"2018-01-23 오후 9:37:33","식권가격에 대해 똑바로 대답해주세요.","식당 > 이천 > 선택하세요","건의","2018-01-23","옛전에 식권가격에 대해 문의했을때 하이닉스 구성원과 협력업체 식권구매자와의 차이가 굉장히 심해서 문의드렸었는데요 , 하이닉스 직원은 '2000원' 정도의 가격으로 식사를 하는 반면 협력식권구매자들은 5700원에 식권을 구입해서 먹게되어 가격차이에 대해 문의했었습니다. 그때 답변으로 5700원인 이유는 종이값,카드 수수료 등으로 5700원으로 책정되어있다고 했습니다. 그러면 이번 모바일 식권으로 운영하게된다면 5700원인 이유도 사라져야 맞는거 아니에요?  그저께 전화했을때는 모바일 식권 시스템운영자를 더 뽑고 그분들 월급을 줘야된다, 라고 말씀하셨습니다.모바일식권으로 변경된것도 사전 투표도 없이 공지했는데 왜 식권값에서 모바일식권 담당자 월급을 줘야되는거에요? 확실히 답변 바랍니다. 복사 붙여넣기 하지 말고 정확하게 답변해주세요. 자세한 내용 문의처에 연락 달라고 하지말고 모두가 보고 납득할수있게 여기에 글 남겨주세요."
"2018-01-23 오후 5:26:08","사전에 예고없이 식권을 바꾸는게 말이 됩니까?","식당 >  >","","","나 식권 300장 넘게 있어요.3월31일까지 먹으라니 하루에 5끼씩 먹으면 되는거죠?그리고 저같이 스마트폰 잘 모르는 사람보고 어디를 가입하고 어떻게 쓰고 너무 어렵습니다.아마 50대이상 분들은 거의 모를걸요?스마트폰 할줄 모르면 밥도 먹지말라는 겁니까?하이닉스가 저희 협력업체 없이 이렇게 성장할수 있었다고 생각하십니까?정말 이런 일방적인 불공정인 대우는 화가 나네요.답답합니다."
"2018-01-23 오후 4:14:20","제발.. 밥이라도 편하게 먹읍시다..","식당 > 이천 > 선택하세요","선택하세요","2018-01-23","어휴~~~ 짜증나 아니 외부인들은 똑같이 먹지도 못하게 하지 식권도 어플을 깔라고 하지 어플을 못 깔면 밥도 먹지 말라는 이야기 입니까? 해도해도 너무하시네요 저희도 하이닉스를 위해 일하는 사람입니다. 이걸 만드신 분들은 자기들이 이렇게 해서 밥을 먹는다고 생각해 보세요 ~ 밥이라도 좀 편하게 먹어야지 이건 무슨 하이닉스 와서 일하고 밥도 제대로 먹지도 못하고.. 식당 관리하는 사람은 이런것 생각하지 말고 밥먹는 사람이 식당에서 밥을 맛있고 편하게 먹을 수 있는거나 고민좀 하세요.. 제발"
"2018-01-23 오후 3:51:14","식권 변경 정말 너무한 것 아닙니까?","식당 > 이천 > 선택하세요","불편 / 기타 / 불편정도: 5","2018-01-23","같은 돈 주고, 아니 지원 하나 없이 받는 외부인들한테 식권을 팔아서 사용하시는 것 치고아침 편의식도 바깥보다 더 비싸게 받으시고당사 구성원들이 불편하다는 이유로 메뉴제한(면) 혹은 시간제한까지 하며 식권사용에 불이익을 주시면서이번에는 사전 공지한번 제대로 한적 없으면서 식권 업체 바꿨다고 빨리 소진하라니이게 말이됩니까?현금결제한사람들은 현금영수증을 하지않으면 환불이 어렵니마니하는데본인들이 업체 변경한걸 왜 이전에 구매한 사람들이 피해를 봐야합니까?보통 상식적으로 이전 식권에 대한 호환이나 교환이라도 해야 하는것 아닙니까?끝까지 혜택은 하나도 없으면서 협력사들 등쳐먹기 바쁘시네요식권을 빨리 사용하라는데 맛이 있어야 사용하죠식대는 올리면서 맛은 더 없어지고 메뉴명으로 사기치기 바쁘신분들이 메뉴개발은 도대체 언제하신단말입니까?중앙식당은 항상 책임질 사람은 없고 게시판 담당자만 욕받이무녀마냥 똑같은 말 반복하는감정노동 손가락운동의 장소입니까?서비스도 부족, 맛도 부족한데 이미 산 식권은 환불하는 방법도 이상하게 만들고...진짜 실무자부터 최종책임자들 이름좀 알려주시면 안되나요담당 하이닉스 직원도 궁금하네요이렇게까지 방치하면서 언제까지 댓글봇만 하실지.하이닉스가 그렇게 좋아하는 액션아이템 수립과 실천하는 모습좀 보여주시죠?"
"2018-01-23","통근버스 이천","secret","","",""
"2018-01-22","지갑 분실","secret","","",""
